# Swahili-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T21:55:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
-dogo	short ; small
-kavu	dry
-kubwa	big ; large
-pya	new ; novel
-zito	heavy
Abidjan	Abidjan
Afrika Kusini	South Africa
Agosti	August
Alhamisi	Thursday
Aprili	April
Bahari ya Karibi	Caribbean Sea
Bahrain	Bahrain
Bangla Desh	Bangladesh ; People's Republic of Bangladesh
Botswana	Botswana ; Republic of Botswana
Bulgaria	Bulgaria ; Republic of Bulgaria
Burundi	Burundi ; Republic of Burundi
Chad	Chad ; Republic of Chad
Chile	Chile ; Republic of Chile
Desemba	December
El Salvador	El Salvador ; Republic of El Salvador
Eneo la Uingereza katika Bahari Hindi	British Indian Ocean Territory ; BIOT
Eritrea	Eritrea
Februari	February
Gaborone	Gaborone
Georgia	Georgia
Ghana	Ghana ; Republic of Ghana
Grenada	Grenada
Haiti	Haiti ; Republic of Haiti
Heri kwa mwaka mpya	Happy New Year
Honduras	Honduras ; Republic of Honduras
Iceland	Iceland ; Republic of Iceland
Ijumaa	Friday
Jakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamaika	Jamaica
Jamhuri ya Dominika	Dominican Republic
Jamhuri ya Kenya	Kenya ; Republic of Kenya
Januari	January
Japani	Japan ; State of Japan
Julai	July
Jumamosi	Saturday
Jumanne	Tuesday
Jumapili	Sunday
Jumatano	Wednesday ; quarta-feira
Jumatatu	Monday
Juni	June
Khartoum	Khartoum
Kiafrikans	Afrikaans
Kiaislandi	Icelandic
Kibulgaria	Bulgarian ; Bulgarian
Kidenmarki	Danish
Kiestonia	Estonian
Kifaransa	French ; French
Kifinlandia	Finnish
Kigujarati	Gujarati ; Gujarati
Kihindi	Hindi ; Hindi
Kihispania	Castilian ; Spanish ; Spanish
Kihungari	Hungarian
Kiindonesia	Indonesian
Kiingereza	English
Kiitaliano	Italian ; Italian
Kijapani	Japanese ; Japanese
Kikatalan	Catalan ; Catalan
Kikhmeri	Khmer ; Central Khmer
Kikroashia	Croatian ; Croation
Kikyrili	Cyrillic alphabet
Kilatvia	Latvian ; Latvian
Kipolandi	Polish ; Polish
Kireno	Portuguese ; Portuguese
Kirgizia	Kyrgyzstan ; Kyrgyz Republic
Kiromania	Romanian ; Romanaian
Kirusi	Russian ; Russian
Kislovakia	Slovak ; Slovak
Kislovenia	Slovene ; Slovenian ; Slovenian
Kiswahili	Swahili
Kisweden	Swedish
Kituruki	Turkish ; Turkish
Kiukrania	Ukrainian ; Ukrainian
Kiyahudi	Hebrew
Kizulu	Zulu
Lesotho	Lesotho ; Kingdom of Lesotho
Liberia	Liberia ; Republic of Liberia
Libya	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Machi	March
Malaysia	Malaysia
Martinique	Martinique
Mauritania	Mauritania ; Islamic Republic of Mauritania
Mei	May
Misri	Egypt ; Arab Republic of Egypt
Montenegro	Montenegro
Moroko	Morocco ; Kingdom of Morocco
Myanmar	Myanmar
Nairobi	Nairobi
Namibia	Namibia
Norwei	Norway ; Kingdom of Norway
Novemba	November
Oktoba	October
Pakistan	Pakistan ; Islamic Republic of Pakistan
Pasaka	Easter
Poland	Poland
Qatar	Qatar
Ramadhani	Ramadan
Saint-Pierre na Miquelon	Saint-Pierre and Miquelon
Septemba	September
Slovakia	Slovakia
Sri Lanka	Sri Lanka
Sudan	Sudan
Tanzania	Tanzania
Timor ya Mashariki	East Timor ; Democratic Republic of Timor-Leste
Togo	Togo
Uajemi	Iran ; Islamic Republic of Iran
Ubelgiji	Belgium ; Kingdom of Belgium
Ufaransa	France
Uganda	Uganda ; Republic of Uganda
Ugiriki	Greece ; Hellenic Republic
Uholanzi	Holland ; Kingdom of the Netherlands ; The Netherlands
Ujerumani	Germany ; Federal Republic of Germany
Unguja	Zanzibar
Ureno	Portugal
Uswidi	Sweden
Uswisi	Switzerland
Uturuki	Turkey
Vatikani	Vatican City ; The Holy See ; State of the Vatican City
Wallis na Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
Zambia	Zambia ; Republic of Zambia
a tunu	valuable
adui	enemy
afisi ya posta	post office
aloi	alloy
alumini	aluminium
andika	write
asali	honey
askofu	bishop
astatini	astatine
au	or
baba	father
babu	grandfather
bahari	sea
baisikeli	bicycle ; bike ; cycle
bandari	harbour
barafu	ice
basi	bus ; coach
bata mzinga	turkey
bei	price
berili	beryllium ; glucinium
bia	beer
bilauri	glass
bismuthi	bismuth
bofulo ; mkate	bread
boroni	boron
bromi	bromine
buibui	spider
cadimi	cadmium
caesi	caesium
chacha	yeast
chakula	food
chamshakinywa	breakfast
cheka	laugh
chemli	lantern
chizi	cheese
chlorini	chlorine
chromi	chromium
chui	leopard
chuma	iron
chumvi	salt
chungwa	orange
chura	frog
dakika	minute
damu	blood
daraja	bridge
darmstadti	darmstadtium
dhahabu	gold
dhoruba ; tufani	storm ; tempest
dini	religion
dirisha	window
duka	shop
duka la madawa	chemist's ; chemist's shop ; pharmacy
embe	mango
emeli	electronic mail ; email ; e-mail
fanya	do
fedha	silver
filimbi	clarinet
florini	fluorine
fransi	francium
fundisha	teach
gali	gallium
gari	car ; automobile
gerimani	germanium
gugu	weed
hafni	hafnium
harisha	diarrhea
heli	helium
hewa	air
hidrojeni	hydrogen
iodini	iodine
jicho	eye
jiji	metropolis
jina	name ; proper name ; proper noun
jino	molar ; tooth
jiografia	geography
jirani	neighbour ; vecino
jivu	ash
joto	heat
kali	potassium
kalisi	calcium
kamaflaji	camouflage
kamusi	dictionary
kandambili	slipper
kanisa	church
kaskazi	summer
katarasi	paper
kazi	employment ; employment ; job ; job ; occupation ; work ; work
kazi	labour
kelele	noise ; noise, vibrations ; racket
kesho	tomorrow
kiatu	shoe
kiazi	potato ; patato
kichwa	head
kidole	finger
kidonda	wound
kidube	mysterious
kifaru	rhino ; rhinoceros
kijiji	village
kijiko ; mwiko	spoon
kikombe	trophy
kilima	colina ; hill ; loma
kilithuania	Lithuanian ; Lithuanian
kilogramu	kilogram
kinyozi	hairdresser ; barber
kinywa	beak ; mouth
kipaji	donation
kisa	story
kisima	water well
kisiwa	island ; isle
kisu	knife
kitabu	book
kitambaa	handkerchief
kitanda	bed
kiti	chair
kitovu	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
kitunguu	onion
kiu	thirst
kiungo	joint ; articulation
kizuio	obstacle ; obstruction
kobalti	cobalt
kondoo	sheep
kriptoni	krypton
kuingia	enter
kuja	come
kujiua	suicide
kula	consume ; eat ; swallow
kununua ; nunua	buy ; purchase
