# Tamil-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T22:01:38+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
ஃவுளூரின்	fluorine
ஃவூஜி மலை	Mount Fuji
அகரமுதலி	dictionary
அக்டினியம்	actinium
அக்டோபர்	October
அங்கோலா	Angola ; Republic of Angola
அண்டார்டிக்கா	Antarctica
அமெரிகியம்	americium
அம்பர்	amber
அயோடின்	iodine
அர்ஜென்டினா	Argentina ; Argentine Republic
அலுமினியம்	aluminium
அவுஸ்திரேலியா ; ஆஸ்திரேலியா	Australia ; Commonwealth of Australia
ஆகஸ்டு	August
ஆக்ஸிஜன்	oxygen
ஆங்கிலம்	English
ஆட்சி மொழி	official language
ஆண்ட்டிமனி	antimony
ஆப்பிரிக்கான்ஸ	Afrikaans
ஆர்கன்	argon
ஆல்ப்ஸ்	Alps
ஆஸ்திரியா	Austria ; Republic of Austria
இசுரேல்	Israel ; State of Israel
இசைக்கருவி	instrument ; musical instrument
இண்டியம்	indium
இத்தாலி	Italian Republic ; Italy
இத்தாலியன்	Italian ; Italian
இந்தியா	India ; Republic of India
இந்தோனீசியன்	Indonesian
இந்தோனேசியா	Indonesia ; Republic of Indonesia
இராக்	Iraq ; Republic of Iraq
இரிடியம்	iridium
இரும்பு	iron
இலங்கை	Sri Lanka
ஈபெல் கோபுரம்	Eiffel Tower
ஈயம்	lead
ஈரான்	Iran ; Islamic Republic of Iran
உகாண்டா	Uganda ; Republic of Uganda
உடை	clothing ; apparel
உருது	Urdu ; Urdu
எறும்பு	ant
ஏப்ரல	April
ஐன்ஸ்டீனியம்	einsteinium
ஐஸ்லாந்து	Iceland ; Republic of Iceland
ஒக்லகோமா	Oklahoma
ஒளிரியம்	neon
ஒஸ்மியம்	osmium
கடு௩்கோபம் ; புயல்	storm ; tempest
கடோலினியம்	gadolinium
கட்டார்	Qatar
கணையம்	pancreas
கண்	eye
கதவு	door
கந்தகம்	sulphur
கனடா	Canada
கன்னடம்	Kannada ; Kannada
கம்போடியா	Cambodia ; Kingdom of Cambodia
கரிபியக் கடல்	Caribbean Sea
கரிமம்	carbon
கலப்புலோகம்	alloy
கல்சியம்	calcium
களங்கன்	niobium
காட்மியம்	cadmium
கார்த்தௌம்	Khartoum
காற்பந்தாட்டம்	football
காலியம்	gallium
கியூபா	Cuba ; Republic of Cuba
கிருப்டான்	krypton
கிரெகொரியின் நாட்காட்ட	Gregorian calendar
கிரெனடா	Grenada
கிரேக்கம்	Greek ; Greek
குதிரை	horse
குரோமியம்	chromium
குறியியல்	semiotics ; semiology
குளோரின்	chlorine
குவாம்	Guam ; Guam ; Guam
கேள்வி	question
கொணோறியா	gonorrhea
கொலம்பியா	Colombia ; Republic of Colombia
கோதுமை	wheat
கோப்பை	trophy
கோரியன்	Korean ; Korean
கோல்ஃப்	golf
கோழி	chicken
சமன்பாடு	equation
சமஸ்கிருதம்	Sanskrit ; Sanskrit
சமாரியம்	samarium
சவூதி அரேபியா	Saudi Arabia ; Kingdom of Saudi Arabia
சஹாரா	sahara
சாம்பலியம்	germanium
சிபிலிசு	syphilis
சிம்பாப்வே	Zimbabwe ; Republic of Zimbabwe
சிம்ப்பன்சி	chimpanzee
சிலி	Chile ; Republic of Chile
சிலிக்கான்	silicon
சீரியம்	cerium
