# Turkish-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T22:00:54+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
Abhazya	Abkhazia
Abican	Abidjan
Abraham Lincoln	Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln
Adriyatik Denizi	Adriatic Sea
Afar	Afar ; Afar
Afrikanca	Afrikaans
Almanca	German
Almanca (Avusturya)	German (Austria)
Almanca (İsviçre)	German (Switzerland)
Alpler	Alps
Amerika Birleşik Devletleri ; ABD	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
Amerikan Samoası	American Samoa
Angola	Angola ; Republic of Angola
Anguilla	Anguilla
Antarktika	Antarctica
Antigua ve Barbuda	Antigua and Barbuda
Apus	Apus
Aquarius	Aquarius
Aquila	Aquila
Arapça	Arabic ; Standard Arabic
Aries	Aries
Arizona	Arizona
Arjantin	Argentina ; Argentine Republic
Arnavutluk	Albania ; Republic of Albania
Aruba	Aruba
Avrupa Birliği ; AB	EU ; European Union
Avustralya	Australia ; Commonwealth of Australia
Avusturya	Austria ; Republic of Austria
Azerbaycan	Azerbaijan ; Republic of Azerbaijan
Azerbaycan Türkçesi ; Azerice	Azerbaijani ; Azeri ; Azerbaijani Cluster
Azor Adaları	Azores
Aşağı Saksonya	Lower Saxony
Bahreyn	Bahrain
Bangladeş	Bangladesh ; People's Republic of Bangladesh
Baskça	Basque ; Basque
Belarusça	Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian
Belgrad	Belgrade
Belize	Belize
Belçika	Belgium ; Kingdom of Belgium
Bengali	Bengali ; Bengali
Bermuda	Bermuda
Bern	Berne
Betlehem	Bethlehem
Beyaz Rusya	Belarus ; Republic of Belarus
Bhutan	Bhutan ; Kingdom of Bhutan
Birmingham	Birmingham
Bolivya	Bolivia ; Republic of Bolivia
Borneo	Borneo ; Kalimantan
Bosna ve Hersek	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
Botsvana	Botswana ; Republic of Botswana
Bourgogne	Bourgogne
Boötes	Boötes
Boşnakça	Bosnian ; Bosnian
Brezilya	Brazil
Brunei	Brunei ; Negara Brunei Darussalam
Bröton	Breton ; Breton
Brüksel	Brussels
Bulgarca	Bulgarian ; Bulgarian
Bulgaristan ; Bulgaristan Cumhuriyeti	Bulgaria ; Republic of Bulgaria
Burma	Myanmar
Burundi	Burundi ; Republic of Burundi
Bükreş	Bucharest
Büyük Britanya	Great Britain ; Britain
Büyük Britanya ve Kuzey İrlanda ; Birleşik Krallık	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Cakarta	Jakarta ; Djakarta ; DKI Jakarta
Cancer	Cancer
Canes Venatici	Canes Venatici
Canis Major	Canis Major
Canis Minor	Canis Minor
Capricornus	Capricorn
Cassiopeia	Cassiopeia
Cayman Adaları	Cayman Islands
Cebelitarık	Gibraltar
Cezayir Demokratik Halk Cumhuriyeti ; Cezayir	Algeria ; People's Democratic Republic of Algeria
Christmas Adası	Christmas Island
Cibuti	Djibouti ; Republic of Djibouti
Cook adaları	Cook Islands
Dakar	Dakar
Danca	Danish
Dağlık Karabağ	Nagorno-Karabakh
Dağıstan	Dagestan
Down sendromu	Down syndrome ; Down’s syndrome
Ege Denizi	Aegean Sea
El Salvador	El Salvador ; Republic of El Salvador
Endonezce	Indonesian
Endonezya	Indonesia ; Republic of Indonesia
Erendiz ; Jüpiter	Jupiter
Eritre	Eritrea
Ermenice	Armenian
Ermenistan	Armenia
Estonca	Estonian
Estonya	Estonia ; Republic of Estonia
Etiyopya	Ethiopia ; Federal Democratic Republic of Ethiopia
Eyfel Kulesi	Eiffel Tower
Falkland Adaları	Falkland Islands
Faroe Adaları	Faroe Islands
Fas	Morocco ; Kingdom of Morocco
Fiji	Fiji ; Republic of the Fiji Islands
Fildişi Kıyısı	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
Fince	Finnish
Finlandiya	Finland ; Republic of Finland
Flevoland	Flevoland
Fransa	France
Fransa	Dominican Republic
Fransız Devrimi ; Fransız İhtilali	French Revolution
Fransız Guyanası	French Guiana
Fransız Polinezyası	French Polynesia
Fransızca	French ; French
Gabon	Gabon ; Gabonese Republic
Galiçyaca	Galician ; Galician
Galler	Wales
Gambiya ; Gambiya Cumhuriyeti	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Gana	Ghana ; Republic of Ghana
Gazze Şeridi	Gaza Strip
Gemini	Gemini
Genotip	genotype
Georgia	Georgia
Grenada	Grenada
Grönland	Greenland
Guadeloupe	Guadeloupe
Guam	Guam ; Guam ; Guam
Güney Afrika Cumhuriyeti	South Africa
Gürcistan	Georgia
Gürcüce	Georgian ; Georgian
Haiti ; Haiti Cumhuriyeti	Haiti ; Republic of Haiti
Hanuka	Hannukah
Hartum	Khartoum
Herakles ; Herkül	Hercules
Hercules	Hercules
Hindistan	India ; Republic of India
Hindu ; Hintçe	Hindi ; Hindi
Hint Okyanusu İngiliz Sömürgeleri	British Indian Ocean Territory ; BIOT
Hollanda	Holland ; Kingdom of the Netherlands ; The Netherlands
Hollandaca	Dutch
Honduras	Honduras ; Republic of Honduras
Hırvatistan	Croatia ; Republic of Croatia
Hırvatça	Croatian ; Croation
Interlingua	Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin
Irak ; Irak Cumhuriyeti	Iraq ; Republic of Iraq
Jamaika	Jamaica
Japonca	Japanese ; Japanese
Japonya	Japan ; State of Japan
Jersey	Jersey ; Bailiwick of Jersey
Kahire	Cairo
Kalaallisut	Kalaallisut
Kamboçya	Cambodia ; Kingdom of Cambodia
Kamerun	Cameroon ; Republic of Cameroon
Kanada	Canada
Kapuluang Balear	Balearic Islands
Karadağ	Montenegro
Karayip Denizi	Caribbean Sea
Kareli	Karelian
Katalanca	Catalan ; Catalan
Katar	Qatar
Kazakça	Kazakh ; Kazakh
Kenya	Kenya ; Republic of Kenya
Kibris Çumhuriyeti ; Kıbrıs	Cyprus ; Republic of Cyprus
Kiribati	Kiribati ; Republic of Kiribati
Kiril alfabesi	Cyrillic alphabet
Kitab-ı Mukaddes	Bible
Kmer	Khmer ; Central Khmer
Kolombiya	Colombia ; Republic of Colombia
Kongo Demokratik Cumhuriyeti ; Kongo Kinşasa	Democratic Republic of the Congo ; Congo-Kinshasa
Korece	Korean ; Korean
Kosova	Kosovo
Kuzey İrlanda	Northern Ireland
Küba	Cuba ; Republic of Cuba
Kırgızistan	Kyrgyzstan ; Kyrgyz Republic
Lagos	Lagos
Laos	Laos ; Lao People's Democratic Republic
Latince ; Latin	Latin ; Latin
Lehçe	Polish ; Polish
Leo	Leo
Lesotho	Lesotho ; Kingdom of Lesotho
Letonya	Latvia ; Republic of Latvia
Letonyaca ; Letonca	Latvian ; Latvian
Liberya	Liberia ; Republic of Liberia
Libra	Libra
Libya	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Litvanya	Lithuania ; Republic of Lithuania
Lozan	Lausanne
Lyon	Lyon
Macarca	Hungarian
Macaristan	Hungary ; Republic of Hungary
Madagaskar	Madagascar ; Republic of Madagascar
Makedonya	Macedonia ; Republic of Macedonia
Malavi	Malawi ; Republic of Malaŵi
Malezya	Malaysia
Malta	Malta ; Republic of Malta
Maltaca	Maltese
Markov zinciri	Markov chain ; Markoff chain
Martinique	Martinique
Mayotte	Mayotte
Mekke	Mecca
Merkür	Mercury
Milano	Milan
Milwaukee	Milwaukee
Monako	Monaco
Montserrat	Montserrat
Moritanya	Mauritania ; Islamic Republic of Mauritania
Moskova	Moscow
Musevilik ; Yahudilik ; İbranilik ; İsrail dini ; Musevîlik	Judaism
Mısır	Egypt ; Arab Republic of Egypt
Nairobi	Nairobi
Namibya	Namibia
Neptün	Neptune
New York	New York
Nijer	Niger
Nikaragua	Nicaragua
Niue	Niue
Noel ağacı	Christmas tree
Norveç	Norway ; Kingdom of Norway
Nuuk	Nuuk
Pakistan	Pakistan ; Islamic Republic of Pakistan
Panama	Panama
Papatyagiller	Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family
Papua Yeni Gine	Papua New Guinea
Paskalya	Easter
Peru	Peru ; Republic of Peru
Philadelphia	Philadelphia
Pireneler	Pyrenees
Polonya ; Lehistan	Poland
Portekiz	Portugal
Portekizce	Portuguese ; Portuguese
Porto Riko	Puerto Rico
Rhône	Rhône
Romanya	Romania
Romence	Romanian ; Romanaian
Rusya Federasyonu	Russia ; Russian Federation
Rusça	Russian ; Russian
Sagittarius	Sagittarius
Saint Pierre ve Miquelon	Saint-Pierre and Miquelon
Saksonya	Saxony
Sanskritçe	Sanskrit ; Sanskrit
Satürn	Saturn
Scorpius	Scorpio
Sen Nehri	Seine
Senegal	Senegal
Sindhî	Sindhi ; Sindhi
Slovakya	Slovakia
Slovakça	Slovak ; Slovak
Slovence	Slovene ; Slovenian ; Slovenian
Somalice	Somali ; somali
St. Petersburg	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Sudan	Sudan
Surinam	Suriname
Suudi Arabistan	Saudi Arabia ; Kingdom of Saudi Arabia
Sırbistan	Serbia
Sırbistan-Karadağ	Serbia and Montenegro
Tacikistan	Tajikistan
Tahran	Tehran
Takalotça	Tagalog
Tamilce	Tamil ; Tamil
Tanzanya	Tanzania
Tatarca	Tatar ; Tatar
Taurus	Taurus
Taylandca	Thai ; Thai
Tayvan	Taiwan
Tennessee	Tennessee
Thuringia	Thuringia
Tibet sığırı	yak
Timor-Leste Demokratik Cumhuriyeti ; Doğu Timor	East Timor ; Democratic Republic of Timor-Leste
Togo	Togo
Toronto	Toronto
Türkçe	Turkish ; Turkish
Uganda	Uganda ; Republic of Uganda
Ukrayna	Ukraine
Ukraynaca	Ukrainian ; Ukrainian
Uranüs	Uranus
Urduca	Urdu ; Urdu
Utah	Utah
Vaduz	Vaduz
Valonca	Walloon ; Walloon
Vatikan	Vatican City ; The Holy See ; State of the Vatican City
Venedik	Venice
Venezuela	Venezuela
Venüs	Venus
Vietnamca	Vietnamese ; Vietnamese
Vikipedi	Wikipedia
Vikisözlük	Wiktionary
Viyana	Vienna
Volapük	Volapük
Wallis ve Futuna Adaları	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
