kanji,english,components,on_reading,kun_reading
一,one,,イチ; イツ,ひと-; ひと.つ
二,two,,ニ; ジ,ふた; ふた.つ; ふたた.び
三,three,,サン; ゾウ,み; み.つ; みっ.つ
四,four,pent in; human legs,シ,よ; よ.つ; よっ.つ; よん
五,five,,ゴ,いつ; いつ.つ
六,six,top hat; animal legs,ロク; リク,む; む.つ; むっ.つ; むい
七,seven,diced,シチ,なな; なな.つ; なの
八,eight,,ハチ,や; や.つ; やっ.つ; よう
九,nine,baseball,キュウ; ク,ここの; ここの.つ
十,ten,needle,ジュウ; ジッ; ジュッ,とお; と
口,mouth,,コウ; ク,くち
日,day,sun,ニチ; ジツ,ひ; -び; -か
月,month,moon; flesh; part of the body,ゲツ; ガツ,つき
田,rice field,brains,デン,た
目,eye,,モク; ボク,め; -め; ま-
古,old,tombstone; gravestone; church; ten; needle; mouth,コ,ふる.い; ふる-; -ふる.す
吾,I,five; mouth,ゴ,われ; わが-; あ-
冒,risk,sun; day; eye,ボウ,おか.す
朋,companion,moon; month; flesh; part of the body,ホウ,とも
明,bright,sun; day; moon; month; flesh; part of the body,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす
唱,chant,mouth; prosperous; sun; day; tongue wagging,ショウ,とな.える
晶,sparkle,day; sun,ショウ,
品,goods,mouth,ヒン; ホン,しな
呂,spine,mouth; drop,ロ; リョ,せぼね
昌,prosperous,sun; day,ショウ,さかん
早,early,sunflower; sun; day; ten; needle,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-
旭,rising sun,nine; baseball; sun; day,キョク,あさひ
世,generation,ten; twenty,セイ; セ; ソウ,よ; さんじゅう
胃,stomach,rice field; brains; moon; month; flesh; part of the body,イ,
旦,nightbreak,sun; one; floor,タン; ダン,あき.らか; あきら; ただし; あさ; あした
胆,gall bladder,gallbladder; moon; month; flesh; part of the body; nightbreak; sun; day; one; floor,タン,きも
亘,span,one; ceiling; sun; day; one; floor,コウ; カン,わた.る; もと.める
凹,concave,,オウ,くぼ.む; へこ.む; ぼこ
凸,convex,,トツ,でこ
旧,olden times,stick; sun; day,キュウ,ふる.い; もと
自,oneself,drop; eye,ジ; シ,みずか.ら; おの.ずから; おの.ずと
白,white,drop; sun; day,ハク; ビャク,しろ; しら-; しろ.い
百,hundred,one; ceiling; white; dove,ヒャク; ビャク,もも
中,in,stick; mouth,チュウ,なか; うち; あた.る
千,thousand,drop; ten; needle,セン,ち
舌,tongue,thousand; drop; ten; needle; mouth,ゼツ,した
升,measuring box,thousand; drop; ten; needle,ショウ,ます
昇,rise up,sun; day; measuring box; thousand; drop; ten; needle,ショウ,のぼ.る
丸,round,drop; nine; baseball,ガン,まる; まる.める; まる.い
寸,measurement,glue; drop; ten with a hook,スン,
肘,elbow,moon; month; flesh; part of the body; glue,チュウ,ひじ
専,specialty,ten; needle; rice field; brains; glue,セン,もっぱ.ら
博,Dr.,ten; needle; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,ハク; バク,
占,fortune-telling,magic wand; augury; divining rod; mouth,セン,し.める; うらな.う
上,above,magic wand; augury; divining rod; one; floor,ジョウ; ショウ; シャン,うえ; -うえ; うわ-; かみ; あ.げる; -あ.げる; あ.がる; -あ.がる; あ.がり; -あ.がり; のぼ.る; のぼ.り; のぼ.せる; のぼ.す; よ.す
下,below,one; ceiling; magic wand; augury; divining rod,カ; ゲ,した; しも; もと; さ.げる; さ.がる; くだ.る; くだ.り; くだ.す; -くだ.す; くだ.さる; お.ろす; お.りる
卓,eminent,magic wand; augury; divinging rod; sunflower; sun; day; ten; needle,タク,
朝,morning,mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,あさ
嘲,derision,mouth; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ; トウ,あざけ.る
只,only,mouth; animal legs; eight,シ,ただ
貝,shellfish,clam; oyster; eye; animal legs; eight,バイ,かい
唄,pop song,mouth; shellfish; clam; oyster; eye; animal legs; eight,バイ,うた; うた.う
貞,upright,magic wand; augury; divining rod; shellfish; clam; oyster; eye; animal legs; eight,テイ,さだ
員,employee,mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,
貼,post a bill,shellfish; clam; oyster; eye; animal legs; eight; fortune-telling; magic wand; augury; mouth,テン; チョウ,は.る; つ.く
見,see,eye; human legs,ケン,み.る; み.える; み.せる
児,newborn babe,olden times; stick; sun; day; human legs,ジ; ニ; ゲイ,こ; -こ; -っこ
元,beginning,two; human legs,ゲン; ガン,もと
